original_zip_name,original_zip_path,original_zip_sha256,source_project_zip,source_project,source_project_id,nested_zip_entry,extracted_project_zip_path,nested_zip_size_bytes
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_ Enterprise Systems_USTA.zip,26 summer_ Enterprise Systems_USTA,project_001_26_summer_enterprise_systems_usta,26 summer_ Enterprise Systems_USTA.zip,extracted\project_zips\overleaf_projects_77_items\project_001_26_summer_enterprise_systems_usta.zip,5054
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_ US Open and Enterprise Systems.zip,26 summer_ US Open and Enterprise Systems,project_002_26_summer_us_open_and_enterprise_systems,26 summer_ US Open and Enterprise Systems.zip,extracted\project_zips\overleaf_projects_77_items\project_002_26_summer_us_open_and_enterprise_systems.zip,5322
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_AI_Antora.zip,26 summer_AI_Antora,project_003_26_summer_ai_antora,26 summer_AI_Antora.zip,extracted\project_zips\overleaf_projects_77_items\project_003_26_summer_ai_antora.zip,6226
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_AI_KLA.zip,26 summer_AI_KLA,project_004_26_summer_ai_kla,26 summer_AI_KLA.zip,extracted\project_zips\overleaf_projects_77_items\project_004_26_summer_ai_kla.zip,6247
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_AI_SAP.zip,26 summer_AI_SAP,project_005_26_summer_ai_sap,26 summer_AI_SAP.zip,extracted\project_zips\overleaf_projects_77_items\project_005_26_summer_ai_sap.zip,6308
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_AI_Schneider.zip,26 summer_AI_Schneider,project_006_26_summer_ai_schneider,26 summer_AI_Schneider.zip,extracted\project_zips\overleaf_projects_77_items\project_006_26_summer_ai_schneider.zip,6221
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_Analytics_Tesla.zip,26 summer_Analytics_Tesla,project_007_26_summer_analytics_tesla,26 summer_Analytics_Tesla.zip,extracted\project_zips\overleaf_projects_77_items\project_007_26_summer_analytics_tesla.zip,5938
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_BA (v1).zip,26 summer_BA (v1),project_008_26_summer_ba_v1,26 summer_BA (v1).zip,extracted\project_zips\overleaf_projects_77_items\project_008_26_summer_ba_v1.zip,4404
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_BA_Holland America Line.zip,26 summer_BA_Holland America Line,project_009_26_summer_ba_holland_america_line,26 summer_BA_Holland America Line.zip,extracted\project_zips\overleaf_projects_77_items\project_009_26_summer_ba_holland_america_line.zip,6319
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_DELTA.zip,26 summer_DELTA,project_010_26_summer_delta,26 summer_DELTA.zip,extracted\project_zips\overleaf_projects_77_items\project_010_26_summer_delta.zip,5372
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_Data_MLB.zip,26 summer_Data_MLB,project_011_26_summer_data_mlb,26 summer_Data_MLB.zip,extracted\project_zips\overleaf_projects_77_items\project_011_26_summer_data_mlb.zip,5048
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_Data_TROON.zip,26 summer_Data_TROON,project_012_26_summer_data_troon,26 summer_Data_TROON.zip,extracted\project_zips\overleaf_projects_77_items\project_012_26_summer_data_troon.zip,5264
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_Data_USA Baseball.zip,26 summer_Data_USA Baseball,project_013_26_summer_data_usa_baseball,26 summer_Data_USA Baseball.zip,extracted\project_zips\overleaf_projects_77_items\project_013_26_summer_data_usa_baseball.zip,5267
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_HF_Garmin.zip,26 summer_HF_Garmin,project_014_26_summer_hf_garmin,26 summer_HF_Garmin.zip,extracted\project_zips\overleaf_projects_77_items\project_014_26_summer_hf_garmin.zip,5955
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_HF_Gulfstream.zip,26 summer_HF_Gulfstream,project_015_26_summer_hf_gulfstream,26 summer_HF_Gulfstream.zip,extracted\project_zips\overleaf_projects_77_items\project_015_26_summer_hf_gulfstream.zip,5814
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_HF_Masimo.zip,26 summer_HF_Masimo,project_016_26_summer_hf_masimo,26 summer_HF_Masimo.zip,extracted\project_zips\overleaf_projects_77_items\project_016_26_summer_hf_masimo.zip,5968
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_HF_Nemera.zip,26 summer_HF_Nemera,project_017_26_summer_hf_nemera,26 summer_HF_Nemera.zip,extracted\project_zips\overleaf_projects_77_items\project_017_26_summer_hf_nemera.zip,6217
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_IS_Gilead.zip,26 summer_IS_Gilead,project_018_26_summer_is_gilead,26 summer_IS_Gilead.zip,extracted\project_zips\overleaf_projects_77_items\project_018_26_summer_is_gilead.zip,6225
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_PM_711.zip,26 summer_PM_711,project_019_26_summer_pm_711,26 summer_PM_711.zip,extracted\project_zips\overleaf_projects_77_items\project_019_26_summer_pm_711.zip,5553
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_PM_KEEN.zip,26 summer_PM_KEEN,project_020_26_summer_pm_keen,26 summer_PM_KEEN.zip,extracted\project_zips\overleaf_projects_77_items\project_020_26_summer_pm_keen.zip,5103
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_PM_Lucid.zip,26 summer_PM_Lucid,project_021_26_summer_pm_lucid,26 summer_PM_Lucid.zip,extracted\project_zips\overleaf_projects_77_items\project_021_26_summer_pm_lucid.zip,5454
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_PM_MLB.zip,26 summer_PM_MLB,project_022_26_summer_pm_mlb,26 summer_PM_MLB.zip,extracted\project_zips\overleaf_projects_77_items\project_022_26_summer_pm_mlb.zip,5130
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_PM_Visa.zip,26 summer_PM_Visa,project_023_26_summer_pm_visa,26 summer_PM_Visa.zip,extracted\project_zips\overleaf_projects_77_items\project_023_26_summer_pm_visa.zip,6058
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_PM_fieldpulse.zip,26 summer_PM_fieldpulse,project_024_26_summer_pm_fieldpulse,26 summer_PM_fieldpulse.zip,extracted\project_zips\overleaf_projects_77_items\project_024_26_summer_pm_fieldpulse.zip,5493
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_Product design.zip,26 summer_Product design,project_025_26_summer_product_design,26 summer_Product design.zip,extracted\project_zips\overleaf_projects_77_items\project_025_26_summer_product_design.zip,5386
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_Product design_Dicks.zip,26 summer_Product design_Dicks,project_026_26_summer_product_design_dicks,26 summer_Product design_Dicks.zip,extracted\project_zips\overleaf_projects_77_items\project_026_26_summer_product_design_dicks.zip,5386
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_Product_Cloudflare.zip,26 summer_Product_Cloudflare,project_027_26_summer_product_cloudflare,26 summer_Product_Cloudflare.zip,extracted\project_zips\overleaf_projects_77_items\project_027_26_summer_product_cloudflare.zip,5054
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_UXR (v2）.zip,26 summer_UXR (v2）,project_028_26_summer_uxr_v2,26 summer_UXR (v2）.zip,extracted\project_zips\overleaf_projects_77_items\project_028_26_summer_uxr_v2.zip,4670
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_UXR_Organon.zip,26 summer_UXR_Organon,project_029_26_summer_uxr_organon,26 summer_UXR_Organon.zip,extracted\project_zips\overleaf_projects_77_items\project_029_26_summer_uxr_organon.zip,4829
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_UXR_SIE.zip,26 summer_UXR_SIE,project_030_26_summer_uxr_sie,26 summer_UXR_SIE.zip,extracted\project_zips\overleaf_projects_77_items\project_030_26_summer_uxr_sie.zip,4822
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_UXR_Xometry.zip,26 summer_UXR_Xometry,project_031_26_summer_uxr_xometry,26 summer_UXR_Xometry.zip,extracted\project_zips\overleaf_projects_77_items\project_031_26_summer_uxr_xometry.zip,4809
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_UXR_adobe.zip,26 summer_UXR_adobe,project_032_26_summer_uxr_adobe,26 summer_UXR_adobe.zip,extracted\project_zips\overleaf_projects_77_items\project_032_26_summer_uxr_adobe.zip,4805
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_UX_Netflix.zip,26 summer_UX_Netflix,project_033_26_summer_ux_netflix,26 summer_UX_Netflix.zip,extracted\project_zips\overleaf_projects_77_items\project_033_26_summer_ux_netflix.zip,4894
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_Wearables Intern.zip,26 summer_Wearables Intern,project_034_26_summer_wearables_intern,26 summer_Wearables Intern.zip,extracted\project_zips\overleaf_projects_77_items\project_034_26_summer_wearables_intern.zip,5683
Overleaf Projects (77 items).zip,raw_overleaf_exports\Overleaf Projects (77 items).zip,24e17548cddf8cfbd09abb1971536be7515f91687380736f1050ff3e9a09c185,26 summer_ds_notion.zip,26 summer_ds_notion,project_035_26_summer_ds_notion,26 summer_ds_notion.zip,extracted\project_zips\overleaf_projects_77_items\project_035_26_summer_ds_notion.zip,6116
